# Tiempo [s],Tensión [V],Desplazamiento [mm]
9.119716906524656608e+00,8.018446208012845133e+00,8.272492546315044493e+00
9.150233328054468984e+00,8.018446208012845133e+00,8.300375322148541457e+00
9.180749749584281361e+00,8.018446208012845133e+00,8.412270520652366912e+00
9.211266171114093737e+00,8.018446208012845133e+00,8.495545704891389605e+00
9.241782592643906113e+00,8.018446208012845133e+00,8.579567415764376648e+00
9.272299014173718490e+00,8.018446208012845133e+00,8.663611448796340042e+00
9.302815435703529090e+00,8.018446208012845133e+00,8.748009099651868681e+00
9.333331857233343243e+00,8.018446208012845133e+00,8.774761492681305342e+00
9.363848278763153843e+00,8.018446208012845133e+00,8.858763555506504517e+00
9.394364700292967996e+00,8.018446208012845133e+00,8.942403790754418935e+00
9.424881121822778596e+00,8.018446208012845133e+00,8.970286566587914123e+00
9.455397543352592749e+00,8.018446208012845133e+00,9.054115124147235960e+00
9.485913964882403349e+00,8.018446208012845133e+00,9.082194257557025807e+00
9.516430386412217501e+00,8.018446208012845133e+00,9.166833383615452746e+00
9.546946807942028101e+00,8.018446208012845133e+00,9.194521175002559943e+00
9.577463229471840478e+00,8.018446208012845133e+00,9.223906774225925531e+00
9.607979651001652854e+00,8.018446208012845133e+00,9.250249325515415677e+00
9.638496072531465231e+00,8.018446208012845133e+00,9.252178162098022796e+00
9.669012494061277607e+00,8.018446208012845133e+00,9.252178162098022796e+00
9.699528915591089984e+00,8.018446208012845133e+00,9.252178162098022796e+00
9.730045337120902360e+00,8.018446208012845133e+00,9.226577953236175134e+00
9.760561758650714737e+00,8.018446208012845133e+00,9.198695177402676393e+00
9.791078180180527113e+00,8.018446208012845133e+00,9.170812401569177652e+00
9.821594601710337713e+00,8.018446208012845133e+00,9.142929625735682464e+00
9.852111023240151866e+00,8.018446208012845133e+00,9.115046849902185500e+00
9.882627444769962466e+00,8.018446208012845133e+00,9.058842581454646492e+00
9.913143866299776619e+00,8.018446208012845133e+00,9.031344395632643796e+00
9.943660287829587219e+00,8.018446208012845133e+00,8.947762333280071090e+00
9.974176709359401372e+00,8.018446208012845133e+00,8.919879557446572349e+00
1.000469313088921197e+01,8.018446208012845133e+00,8.836239322198661483e+00
1.003520955241902612e+01,8.018446208012845133e+00,8.808356546365162743e+00
1.006572597394883672e+01,8.018446208012845133e+00,8.724716311117251877e+00
1.009624239547864910e+01,8.018446208012845133e+00,8.696513253392522458e+00
1.012675881700846148e+01,8.018446208012845133e+00,8.668240508666249511e+00
1.015727523853827385e+01,8.018446208012845133e+00,8.584132549707673476e+00
1.018779166006808623e+01,8.018446208012845133e+00,8.556407253842268190e+00
1.021830808159789861e+01,8.018446208012845133e+00,8.528719462455160993e+00
1.024882450312771098e+01,8.018446208012845133e+00,8.472912924021152037e+00
1.027934092465752336e+01,8.018446208012845133e+00,8.466861832317519543e+00
1.030985734618733574e+01,8.018446208012845133e+00,8.445111328705078080e+00
1.034037376771714634e+01,8.018446208012845133e+00,8.438983102610311704e+00
1.037089018924696049e+01,8.018446208012845133e+00,8.438983102610304599e+00
1.040140661077677109e+01,8.018446208012845133e+00,8.438983102610304599e+00
1.043192303230658524e+01,8.018446208012845133e+00,8.438983102610304599e+00
1.046243945383639584e+01,8.018446208012845133e+00,8.459968520524418167e+00
1.049295587536620999e+01,8.018446208012845133e+00,8.466861832317514214e+00
1.052347229689602059e+01,8.018446208012845133e+00,8.486898277415157565e+00
1.055398871842583475e+01,8.018446208012845133e+00,8.514560143823034721e+00
1.058450513995564535e+01,8.018446208012845133e+00,8.542442919656529909e+00
1.061502156148545772e+01,8.018446208012845133e+00,8.570055764713833568e+00
1.064553798301527010e+01,8.018446208012845133e+00,8.597815813158634413e+00
1.067605440454508248e+01,8.018446208012845133e+00,8.625698588992133153e+00
1.070657082607489485e+01,8.018446208012845133e+00,8.682117398476892234e+00
1.073708724760470723e+01,8.018446208012845133e+00,8.710391086471625854e+00
1.076760366913451961e+01,8.018446208012845133e+00,8.738144316108561682e+00
1.079812009066433198e+01,8.018446208012845133e+00,8.765893738363107701e+00
1.082863651219414436e+01,8.018446208012845133e+00,8.793776514196606442e+00
1.085915293372395674e+01,8.018446208012845133e+00,8.849676658313290645e+00
1.088966935525376911e+01,8.018446208012845133e+00,8.877420795570808210e+00
1.092018577678357971e+01,8.018446208012845133e+00,8.905303571404303398e+00
1.095070219831339386e+01,8.018446208012845133e+00,8.915277456622181518e+00
1.098121861984320446e+01,8.018446208012845133e+00,8.933044499686200624e+00
1.101173504137301862e+01,8.018446208012845133e+00,8.943548844494280559e+00
1.104225146290282922e+01,8.018446208012845133e+00,8.960684557158986152e+00
1.107276788443264337e+01,8.018446208012845133e+00,8.971427574201488397e+00
1.110328430596245397e+01,8.018446208012845133e+00,8.971427574201488397e+00
1.113380072749226635e+01,8.018446208012845133e+00,8.971427574201488397e+00
1.116431714902207872e+01,8.018446208012845133e+00,8.955846309691187557e+00
1.119483357055189110e+01,8.018446208012845133e+00,8.943548844494280559e+00
